,,,"Labor Force Data by County, 2005 Annual Averages",,,,,
,,,,,,,,
,State,County,,,,,,
,FIPS,FIPS,,,Labor,,Une,mployed
LAUS Code,Code,Code,County Name/State Abbreviation,Year,Force,Employed,Level,Rate
,,,,,,,,
CN0100100000000,1,1,"Autauga County, AL",2005,"23,887","22,986",901,3.8
CN0100300000000,1,3,"Baldwin County, AL",2005,"76,608","73,581","3,027",4
CN0100500000000,1,5,"Barbour County, AL",2005,"10,730","10,114",616,5.7
CN0100700000000,1,7,"Bibb County, AL",2005,"8,837","8,444",393,4.4
CN0100900000000,1,9,"Blount County, AL",2005,"26,378","25,434",944,3.6
CN0101100000000,1,11,"Bullock County, AL",2005,"3,734","3,383",351,9.4
CN0101300000000,1,13,"Butler County, AL",2005,"9,113","8,528",585,6.4
CN0101500000000,1,15,"Calhoun County, AL",2005,"53,812","51,409","2,403",4.5
CN0101700000000,1,17,"Chambers County, AL",2005,"16,308","15,379",929,5.7
CN0101900000000,1,19,"Cherokee County, AL",2005,"12,012","11,493",519,4.3
CN0102100000000,1,21,"Chilton County, AL",2005,"19,623","18,859",764,3.9
CN0102300000000,1,23,"Choctaw County, AL",2005,"5,285","4,940",345,6.5
CN0102500000000,1,25,"Clarke County, AL",2005,"10,098","9,457",641,6.3
CN0102700000000,1,27,"Clay County, AL",2005,"5,934","5,642",292,4.9
CN0102900000000,1,29,"Cleburne County, AL",2005,"6,642","6,382",260,3.9
CN0103100000000,1,31,"Coffee County, AL",2005,"20,052","19,277",775,3.9
CN0103300000000,1,33,"Colbert County, AL",2005,"24,892","23,557","1,335",5.4
CN0103500000000,1,35,"Conecuh County, AL",2005,"5,173","4,855",318,6.1
CN0103700000000,1,37,"Coosa County, AL",2005,"4,879","4,635",244,5
CN0103900000000,1,39,"Covington County, AL",2005,"16,888","16,131",757,4.5
CN0104100000000,1,41,"Crenshaw County, AL",2005,"6,169","5,869",300,4.9
CN0104300000000,1,43,"Cullman County, AL",2005,"38,393","36,863","1,530",4
CN0104500000000,1,45,"Dale County, AL",2005,"20,116","19,227",889,4.4
CN0104700000000,1,47,"Dallas County, AL",2005,"15,956","14,603","1,353",8.5
CN0104900000000,1,49,"DeKalb County, AL",2005,"31,156","29,582","1,574",5.1
CN0105100000000,1,51,"Elmore County, AL",2005,"34,361","33,084","1,277",3.7
CN0105300000000,1,53,"Escambia County, AL",2005,"14,289","13,500",789,5.5
CN0105500000000,1,55,"Etowah County, AL",2005,"46,638","44,443","2,195",4.7
CN0105700000000,1,57,"Fayette County, AL",2005,"7,865","7,516",349,4.4
CN0105900000000,1,59,"Franklin County, AL",2005,"13,752","13,030",722,5.3
CN0106100000000,1,61,"Geneva County, AL",2005,"11,598","11,149",449,3.9
CN0106300000000,1,63,"Greene County, AL",2005,"3,447","3,218",229,6.6
CN0106500000000,1,65,"Hale County, AL",2005,"7,033","6,654",379,5.4
CN0106700000000,1,67,"Henry County, AL",2005,"7,449","7,130",319,4.3
CN0106900000000,1,69,"Houston County, AL",2005,"45,983","44,236","1,747",3.8
CN0107100000000,1,71,"Jackson County, AL",2005,"26,705","25,371","1,334",5
CN0107300000000,1,73,"Jefferson County, AL",2005,"316,522","302,586","13,936",4.4
CN0107500000000,1,75,"Lamar County, AL",2005,"6,115","5,775",340,5.6
CN0107700000000,1,77,"Lauderdale County, AL",2005,"41,949","39,816","2,133",5.1
CN0107900000000,1,79,"Lawrence County, AL",2005,"15,934","15,053",881,5.5
CN0108100000000,1,81,"Lee County, AL",2005,"63,367","61,025","2,342",3.7
CN0108300000000,1,83,"Limestone County, AL",2005,"35,029","33,486","1,543",4.4
CN0108500000000,1,85,"Lowndes County, AL",2005,"4,937","4,544",393,8
CN0108700000000,1,87,"Macon County, AL",2005,"8,680","8,173",507,5.8
CN0108900000000,1,89,"Madison County, AL",2005,"158,361","152,734","5,627",3.6
CN0109100000000,1,91,"Marengo County, AL",2005,"8,580","8,092",488,5.7
CN0109300000000,1,93,"Marion County, AL",2005,"13,500","12,900",600,4.4
CN0109500000000,1,95,"Marshall County, AL",2005,"41,846","40,225","1,621",3.9
CN0109700000000,1,97,"Mobile County, AL",2005,"179,899","171,056","8,843",4.9
CN0109900000000,1,99,"Monroe County, AL",2005,"9,560","8,976",584,6.1
CN0110100000000,1,101,"Montgomery County, AL",2005,"104,869","100,113","4,756",4.5
CN0110300000000,1,103,"Morgan County, AL",2005,"55,553","53,069","2,484",4.5
CN0110500000000,1,105,"Perry County, AL",2005,"3,526","3,208",318,9
CN0110700000000,1,107,"Pickens County, AL",2005,"7,938","7,510",428,5.4
