"year","STATE","SEN","GOV"
2010,"Arkansas","The Democratic candidate","The Democratic candidate"
2010,"Arizona","The Democratic candidate","The Democratic candidate"
2010,"California",NA,"The Democratic candidate"
2010,"California","The Democratic candidate","The Democratic candidate"
2010,"Florida","The Democratic candidate","Other"
2010," New York","The Republican candidate","The Republican candidate"
2010,"Pennsylvania","The Democratic candidate","The Democratic candidate"
2010,"Massachusetts",NA,"The Republican candidate"
2010,"Maine",NA,"Other"
2010,"Kansas","The Democratic candidate","The Democratic candidate"
2010," North Carolina","The Democratic candidate",NA
2010,"California","The Democratic candidate","The Democratic candidate"
2010,"Florida","Other","The Democratic candidate"
2010," North Carolina","The Republican candidate",NA
2010," North Carolina","The Republican candidate",NA
2010," Michigan",NA,"The Republican candidate"
2010,"Wisconsin","The Democratic candidate","The Democratic candidate"
2010,"Texas",NA,"The Democratic candidate"
2010,"California","The Republican candidate","The Republican candidate"
2010,"California","The Democratic candidate","The Democratic candidate"
2010,"Nevada","The Republican candidate","The Republican candidate"
2010,"Ohio","The Republican candidate","The Republican candidate"
2010,"Delaware","The Republican candidate",NA
2010,"Indiana","The Democratic candidate",NA
2010,"Maine",NA,"The Democratic candidate"
2010,"Oklahoma","The Democratic candidate","The Democratic candidate"
2010," Michigan",NA,"The Republican candidate"
2010,"Massachusetts",NA,"The Republican candidate"
2010,"Ohio","The Republican candidate","The Republican candidate"
2010,"Missouri","The Republican candidate",NA
2010,"Oklahoma","Other","The Democratic candidate"
2010,"South Dakota",NA,"The Democratic candidate"
2010,"North Dakota","The Republican candidate",NA
2010,"South Dakota",NA,"The Republican candidate"
2010," New York","The Democratic candidate","The Democratic candidate"
2010,"Arizona","The Republican candidate","The Republican candidate"
2010,"Hawaii","The Democratic candidate","The Democratic candidate"
2010,"California","The Democratic candidate","The Democratic candidate"
2010,"Nevada","The Democratic candidate",NA
2010,"South Carolina","The Democratic candidate","The Democratic candidate"
2010," Virginia",NA,NA
2010," Illinois","The Democratic candidate","The Democratic candidate"
2010," North Carolina","The Democratic candidate",NA
2010,"Oregon","The Republican candidate","The Republican candidate"
2010,"Connecticut","The Democratic candidate","The Democratic candidate"
2010," Michigan",NA,"The Democratic candidate"
2010," Michigan",NA,"The Republican candidate"
2010," Illinois","The Democratic candidate","The Democratic candidate"
2010,"Pennsylvania","The Democratic candidate","The Democratic candidate"
2010,"South Dakota",NA,"The Democratic candidate"
2010,"Minnesota",NA,"The Democratic candidate"
2010,"North Dakota","The Republican candidate",NA
2010,"Kentucky","The Democratic candidate",NA
2010,"Arizona","The Democratic candidate","The Democratic candidate"
2010,"California","The Democratic candidate","The Democratic candidate"
2010,"California","The Republican candidate","The Democratic candidate"
2010,"California","The Republican candidate","The Democratic candidate"
2010," Michigan",NA,"The Republican candidate"
2010," Michigan",NA,"The Republican candidate"
2010," Illinois","The Republican candidate","The Democratic candidate"
2010,"Missouri","The Republican candidate",NA
2010,"Tennessee",NA,"The Republican candidate"
2010,"Oklahoma","The Democratic candidate","The Democratic candidate"
2010,"Oklahoma","The Republican candidate","The Republican candidate"
2010," New York","The Democratic candidate","The Democratic candidate"
2010," New York","The Democratic candidate","The Democratic candidate"
