Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Governor,Kentucky,20191105,"18,656",ADAIR,"3,946","Bevin, Matt G.",Incumbent,"1,626","Beshear, Andy",Challenger,L,99,"Hicks, John",Challenger,4,"2,320",R,1.74,70.82,29.18,,,"Whyte, Blackii Effing (Write-in) 4"
Governor,Kentucky,20191105,"19,956",ALLEN,"3,564","Bevin, Matt G.",Incumbent,"1,649","Beshear, Andy",Challenger,L,96,"Hicks, John",Challenger,N/A,"1,915",R,1.81,68.37,31.63,,,"Whyte, Blackii Effing (Write-in) 0"
Governor,Kentucky,20191105,"21,421",ANDERSON,"5,380","Bevin, Matt G.",Incumbent,"3,978","Beshear, Andy",Challenger,L,227,"Hicks, John",Challenger,N/A,"1,402",R,2.37,57.49,42.51,,,"Whyte, Blackii Effing (Write-in) 0"
Governor,Kentucky,20191105,"8,249",BALLARD,"2,010","Bevin, Matt G.",Incumbent,"1,012","Beshear, Andy",Challenger,L,54,"Hicks, John",Challenger,N/A,998,R,1.76,66.51,33.49,,,"Whyte, Blackii Effing (Write-in) 0"
Governor,Kentucky,20191105,"42,173",BARREN,"7,693","Bevin, Matt G.",Incumbent,"5,280","Beshear, Andy",Challenger,L,256,"Hicks, John",Challenger,N/A,"2,413",R,1.94,59.30,40.70,,,
Governor,Kentucky,20191105,"11,591",BATH,"1,672","Bevin, Matt G.",Incumbent,"1,886","Beshear, Andy",Challenger,L,70,"Hicks, John",Challenger,N/A,214,D,1.93,46.99,53.01,,,
Governor,Kentucky,20191105,"28,691",BELL,"3,398","Bevin, Matt G.",Incumbent,"2,013","Beshear, Andy",Challenger,L,98,"Hicks, John",Challenger,N/A,"1,385",R,1.78,62.80,37.20,,,
Governor,Kentucky,20191105,"118,811",BOONE,"23,000","Bevin, Matt G.",Incumbent,"16,947","Beshear, Andy",Challenger,L,970,"Hicks, John",Challenger,1,"6,053",R,2.37,57.58,42.42,,,"Whyte, Blackii Effing (Write-in) 1"
Governor,Kentucky,20191105,"19,985",BOURBON,"3,463","Bevin, Matt G.",Incumbent,"3,323","Beshear, Andy",Challenger,L,123,"Hicks, John",Challenger,N/A,140,R,1.78,51.03,48.97,,,
Governor,Kentucky,20191105,"49,542",BOYD,"6,182","Bevin, Matt G.",Incumbent,"6,989","Beshear, Andy",Challenger,L,331,"Hicks, John",Challenger,N/A,807,D,2.45,46.94,53.06,,,
Governor,Kentucky,20191105,"28,432",BOYLE,"5,103","Bevin, Matt G.",Incumbent,"5,099","Beshear, Andy",Challenger,L,198,"Hicks, John",Challenger,N/A,4,R,1.90,50.02,49.98,,,
Governor,Kentucky,20191105,"8,488",BRACKEN,"1,367","Bevin, Matt G.",Incumbent,"1,063","Beshear, Andy",Challenger,L,102,"Hicks, John",Challenger,N/A,304,R,4.03,56.26,43.74,,,
Governor,Kentucky,20191105,"13,878",BREATHITT,"1,820","Bevin, Matt G.",Incumbent,"1,889","Beshear, Andy",Challenger,L,53,"Hicks, John",Challenger,N/A,69,D,1.41,49.07,50.93,,,
Governor,Kentucky,20191105,"20,059",BRECKINRIDGE,"3,897","Bevin, Matt G.",Incumbent,"2,775","Beshear, Andy",Challenger,L,175,"Hicks, John",Challenger,N/A,"1,122",R,2.56,58.41,41.59,,,
Governor,Kentucky,20191105,"74,319",BULLITT,"14,517","Bevin, Matt G.",Incumbent,"11,275","Beshear, Andy",Challenger,L,700,"Hicks, John",Challenger,1,"3,242",R,2.64,56.28,43.72,,,"Whyte, Blackii Effing (Write-in) 1"
Governor,Kentucky,20191105,"12,690",BUTLER,"2,574","Bevin, Matt G.",Incumbent,"1,134","Beshear, Andy",Challenger,L,73,"Hicks, John",Challenger,N/A,"1,440",R,1.93,69.42,30.58,,,
Governor,Kentucky,20191105,"12,984",CALDWELL,"2,843","Bevin, Matt G.",Incumbent,"1,510","Beshear, Andy",Challenger,L,72,"Hicks, John",Challenger,N/A,"1,333",R,1.63,65.31,34.69,,,
Governor,Kentucky,20191105,"37,191",CALLOWAY,"6,344","Bevin, Matt G.",Incumbent,"5,160","Beshear, Andy",Challenger,L,251,"Hicks, John",Challenger,N/A,"1,184",R,2.14,55.15,44.85,,,
Governor,Kentucky,20191105,"90,336",CAMPBELL,"14,587","Bevin, Matt G.",Incumbent,"16,352","Beshear, Andy",Challenger,L,638,"Hicks, John",Challenger,N/A,"1,765",D,2.02,47.15,52.85,,,
Governor,Kentucky,20191105,"5,104",CARLISLE,"1,331","Bevin, Matt G.",Incumbent,529,"Beshear, Andy",Challenger,L,34,"Hicks, John",Challenger,N/A,802,R,1.80,71.56,28.44,,,
Governor,Kentucky,20191105,"10,811",CARROLL,"1,374","Bevin, Matt G.",Incumbent,"1,184","Beshear, Andy",Challenger,L,65,"Hicks, John",Challenger,N/A,190,R,2.48,53.71,46.29,,,
Governor,Kentucky,20191105,"27,720",CARTER,"3,442","Bevin, Matt G.",Incumbent,"3,732","Beshear, Andy",Challenger,L,227,"Hicks, John",Challenger,N/A,290,D,3.07,47.98,52.02,,,
